ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
01,ALABAMA,AL,Dale,01045,"Dale County, Alabama",561.1006284,49255,0,23065,110,18670,402,8798,859,1738,275,23837,925,4732,464,7939,85,11506,39,9906,664,1538,237.8,15250,187.0,461,232.0,277,95.4,4200,352,313,115.2,1023,187,1263,214,18.4,1.8,8.8,1.4,23837.0,925.0,14.2,1.4,16.1,0.2,23.4,0.1,21.3,1.4,8.2,1.3,31.0,0.4,1.0,0.5,1.2,0.4,18.2,1.5,1.7,0.6,5.5,1.0,2.6,0.4,0.7236,0.885,0.6758,0.6129,2.8973,0.779,0.2983,0.6406,0.8781,0.5053,2.3223,0.7463,0.7017,0.5791,1.2808,0.6772,0.2216,0.737,0.4056,0.4677,0.6059,2.4378,0.455,8.9382,0.7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5274,600,11.4,1.3,47664
01,ALABAMA,AL,Elmore,01051,"Elmore County, Alabama",618.4462511,81212,0,34004,192,29143,638,9462,1391,2219,442,27475,1129,7594,675,11770,111,18239,0,13646,860,2679,409.2,21741,210.0,509,248.3,895,265.0,5123,493,422,175.1,1364,276,4424,439,12.3,1.8,6.2,1.2,27475.0,1129.0,13.6,1.2,14.5,0.1,22.5,0.0,17.9,1.1,9.2,1.4,26.8,0.3,0.7,0.3,2.6,0.8,15.1,1.5,1.4,0.6,4.7,0.9,5.4,0.5,0.3309,0.6207,0.4086,0.5829,1.9431,0.4911,0.1786,0.5151,0.6982,0.6702,2.0621,0.5422,0.6536,0.4642,1.1178,0.581,0.4575,0.653,0.2964,0.32,0.8262,2.5531,0.5177,7.6761,0.5401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6227,816,8.2,1.1,61316
01,ALABAMA,AL,Etowah,01055,"Etowah County, Alabama",535.2816213,102939,0,47705,75,38777,531,17524,1194,2945,368,24065,763,11147,751,18877,99,22281,92,19976,971,3443,400.0,22565,87.0,1184,368.5,1484,235.0,5228,459,462,131.2,2441,305,1340,161,17.3,1.2,6.5,0.8,24065.0,763.0,15.5,1.0,18.3,0.1,21.6,0.1,19.6,1.0,8.9,1.0,21.9,0.1,1.2,0.4,3.1,0.5,11.0,1.0,1.2,0.3,6.3,0.8,1.3,0.2,0.6707,0.6697,0.6554,0.6804,2.6762,0.7169,0.5215,0.3862,0.8093,0.6234,2.3404,0.7587,0.5899,0.631,1.2209,0.6396,0.5202,0.5027,0.2203,0.5906,0.2582,2.092,0.2904,8.3295,0.6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10662,765,10.4,0.7,97106
01,ALABAMA,AL,Henry,01067,"Henry County, Alabama",561.7500782,17124,0,9096,44,6669,252,2270,360,494,168,24069,1295,2412,253,3696,36,3587,0,3145,295,474,138.4,5319,19.0,51,79.3,71,43.6,2358,235,52,30.6,369,93,311,59,13.5,2.2,6.7,2.3,24069.0,1295.0,19.8,2.0,21.6,0.2,20.9,0.0,18.7,1.7,7.1,2.1,31.1,0.1,0.3,0.5,0.8,0.5,25.9,2.6,0.8,0.5,5.5,1.4,1.8,0.3,0.4115,0.6968,0.6551,0.8405,2.6039,0.6971,0.8004,0.3091,0.7574,0.3123,2.1792,0.6374,0.7026,0.227,0.9296,0.4725,0.1369,0.8905,0.0981,0.4677,0.4448,2.038,0.2713,7.7507,0.5519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917,386,11.4,2.3,13595
01,ALABAMA,AL,Houston,01069,"Houston County, Alabama",579.8690621,104352,0,47187,110,39253,346,18913,849,3354,184,25990,503,10261,442,17615,33,24386,0,18385,460,4080,228.4,34526,37.0,581,130.9,2403,212.4,6473,294,487,81.1,2438,143,938,127,18.3,0.8,7.0,0.4,25990.0,503.0,14.3,0.6,16.9,0.1,23.4,0.0,17.8,0.4,10.4,0.6,33.1,0.0,0.6,0.1,5.1,0.4,13.7,0.6,1.2,0.2,6.2,0.4,0.9,0.1,0.7178,0.7347,0.5213,0.6189,2.5927,0.6943,0.3763,0.6406,0.6896,0.8077,2.5142,0.8542,0.7243,0.4187,1.143,0.5938,0.7065,0.6103,0.2203,0.5788,0.1165,2.2324,0.3502,8.4823,0.6838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10737,568,10.4,0.5,106936
01,ALABAMA,AL,Jackson,01071,"Jackson County, Alabama",1077.986767,52094,0,25106,90,20626,420,10418,1277,1277,232,21608,861,6526,471,9972,33,11159,18,9712,577,1525,262.9,5557,64.0,219,164.7,354,125.6,4912,389,446,144.5,940,172,660,139,20.2,2.5,5.9,1.1,21608.0,861.0,17.5,1.3,19.1,0.1,21.4,0.0,18.8,1.1,7.4,1.3,10.7,0.1,0.4,0.3,1.4,0.5,19.6,1.5,2.2,0.7,4.6,0.8,1.3,0.3,0.7968,0.5669,0.8252,0.7587,2.9476,0.7927,0.5995,0.3629,0.7638,0.3613,2.0875,0.5635,0.3636,0.297,0.6606,0.3126,0.2579,0.7733,0.5801,0.3012,0.2582,2.1707,0.3231,7.8664,0.5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4974,479,9.6,0.9,46376
01,ALABAMA,AL,Lauderdale,01077,"Lauderdale County, Alabama",668.0128629,92585,0,44792,164,38514,545,13703,1196,2267,279,27189,881,7979,658,17876,107,18522,70,13503,763,2923,398.7,14084,52.0,504,197.1,2357,332.2,4083,510,475,167.0,2698,321,2209,307,15.2,1.3,5.3,0.7,27189.0,881.0,12.6,1.0,19.3,0.1,20.0,0.1,14.7,0.8,7.6,1.0,15.2,0.1,0.6,0.2,5.3,0.7,9.1,1.1,1.2,0.4,7.0,0.8,2.4,0.3,0.5287,0.4691,0.4309,0.5269,1.9556,0.4946,0.6234,0.2162,0.425,0.3961,1.6607,0.2451,0.476,0.4187,0.8947,0.4464,0.7195,0.4276,0.2203,0.6829,0.5769,2.6272,0.5622,7.1382,0.4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,783,9.1,0.9,80602
01,ALABAMA,AL,Lawrence,01079,"Lawrence County, Alabama",690.6840635,33171,0,15373,44,12811,345,5508,733,766,158,23557,1123,4919,529,5787,121,7232,24,6750,490,937,223.5,7781,46.0,62,108.3,128,61.9,3458,331,195,87.7,705,146,232,93,16.8,2.2,5.7,1.2,23557.0,1123.0,21.0,2.2,17.4,0.4,21.8,0.1,20.5,1.5,7.3,1.7,23.5,0.1,0.2,0.3,0.8,0.4,22.5,2.2,1.5,0.7,5.5,1.2,0.7,0.3,0.6395,0.5344,0.6946,0.8781,2.7466,0.7373,0.432,0.418,0.8462,0.3435,2.0397,0.5186,0.6154,0.1477,0.7631,0.3725,0.1369,0.8373,0.3359,0.4677,0.0729,1.8507,0.2028,7.4001,0.4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686,335,8.2,1.0,22621
01,ALABAMA,AL,Limestone,01083,"Limestone County, Alabama",559.955192,93052,0,36069,125,32126,524,12384,1371,2957,563,27699,1019,10123,839,13723,123,21412,109,14690,976,2435,391.2,21498,13.0,837,288.4,1297,248.2,4536,465,588,175.4,1171,224,2872,295,13.7,1.5,6.9,1.3,27699.0,1019.0,15.7,1.3,14.7,0.1,23.0,0.1,16.3,1.1,7.6,1.2,23.1,0.0,1.0,0.3,3.6,0.7,12.6,1.3,1.8,0.5,3.6,0.7,3.1,0.3,0.4229,0.7232,0.3946,0.6883,2.229,0.5812,0.1917,0.5915,0.5756,0.3961,1.7549,0.2999,0.6094,0.5791,1.1885,0.6186,0.5788,0.568,0.4457,0.1573,0.6819,2.4317,0.4521,7.6041,0.5296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8634,928,9.6,1.0,78218
01,ALABAMA,AL,Madison,01089,"Madison County, Alabama",801.5829707,357560,0,159299,251,145256,1161,45960,2425,10632,812,35526,579,21617,1023,51308,25,79195,33,46042,1701,11785,789.2,125445,339.0,3762,517.8,16210,995.1,7081,606,1939,339.5,7103,496,8842,548,13.2,0.7,5.8,0.4,35526.0,579.0,8.9,0.4,14.3,0.1,22.1,0.0,13.1,0.5,8.1,0.5,35.1,0.1,1.1,0.2,10.2,0.6,4.4,0.4,1.3,0.2,4.9,0.3,2.5,0.2,0.3908,0.5481,0.0822,0.2607,1.2818,0.2863,0.1687,0.4642,0.2649,0.49,1.3878,0.1219,0.7472,0.6087,1.3559,0.7217,0.8812,0.1977,0.2604,0.3572,0.5944,2.2909,0.3836,6.3164,0.3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31451,1695,8.9,0.5,377577
01,ALABAMA,AL,Marshall,01095,"Marshall County, Alabama",565.8447822,95145,0,40630,129,34896,540,20354,1364,2091,342,23833,843,12151,735,15941,63,23654,0,14599,651,3207,329.5,17848,99.0,3549,511.7,660,150.4,6000,496,912,215.2,1675,227,1030,261,21.7,1.5,5.1,0.8,23833.0,843.0,19.1,1.2,16.8,0.1,24.9,0.0,15.5,0.7,9.2,0.9,18.8,0.1,4.0,0.6,1.6,0.4,14.8,1.2,2.6,0.6,4.8,0.6,1.1,0.3,0.8427,0.4303,0.6764,0.8166,2.766,0.7427,0.3664,0.8188,0.5005,0.6702,2.3559,0.7682,0.5476,0.8895,1.4371,0.7708,0.298,0.6444,0.6864,0.3381,0.185,2.1519,0.3149,8.7109,0.7261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12367,941,13.1,1.0,91060
